date,total
2021-12-14,455.6
2021-12-15,416.2
2021-12-16,447.4
2021-12-17,411.2
2021-12-18,251.0
2021-12-19,204.6
2021-12-20,415.0
2021-12-21,413.8
2021-12-22,429.6
2021-12-23,438.0
2021-12-24,390.4
2021-12-25,188.8
2021-12-27,386.0
2021-12-28,395.8
2021-12-29,397.6
2021-12-30,398.0
2021-12-31,367.8
2022-01-01,191.2
2022-01-02,178.0
2022-01-03,376.2
2022-01-04,400.2
2022-01-05,287.4
2022-01-06,303.4
2022-01-07,276.4
2022-01-08,154.2
2022-01-09,148.8
2022-01-10,303.8
2022-01-11,311.8
2022-01-12,321.6
2022-01-13,155.6
2022-01-14,301.6
2022-01-15,185.8
2022-01-16,149.8
2022-01-17,325.8
2022-01-18,329.8
2022-01-19,153.2
2022-01-20,307.8
2022-01-21,277.0
2022-01-22,196.0
2022-01-23,153.0
2022-01-24,327.0
2022-01-25,320.4
2022-01-26,134.2
2022-01-27,323.2
2022-01-28,301.6
2022-01-29,191.2
2022-01-30,170.0
2022-01-31,136.0
2022-02-01,214.4
2022-02-02,133.8
2022-02-03,135.2
2022-02-04,295.2
2022-02-05,173.4
2022-02-06,155.0
2022-02-07,313.8
2022-02-08,137.4
2022-02-09,318.0
2022-02-10,296.6
2022-02-11,120.2
2022-02-12,173.8
2022-02-13,158.4
2022-02-14,129.2
2022-02-15,131.4
2022-02-16,236.2
2022-02-17,250.8
2022-02-18,222.8
2022-02-19,110.4
2022-02-20,196.2
2022-02-21,234.8
2022-02-22,255.0
2022-02-23,238.4
2022-02-24,268.2
2022-02-25,250.0
2022-02-26,123.6
2022-02-27,230.4
2022-02-28,149.0
2022-03-01,240.0
2022-03-02,250.2
2022-03-03,150.2
2022-03-04,224.4
2022-03-05,128.0
2022-03-06,199.8
2022-03-07,237.8
2022-03-08,264.0
2022-03-09,253.6
2022-03-10,263.8
2022-03-11,225.6
2022-03-12,126.0
2022-03-13,122.0
2022-03-14,252.6
2022-03-15,266.6
2022-03-16,259.8
2022-03-17,264.8
2022-03-18,250.8
2022-03-19,118.2
2022-03-20,119.6
2022-03-21,227.0
2022-03-22,238.0
2022-03-23,245.8
2022-03-24,256.0
2022-03-25,222.8
2022-03-26,124.8
2022-03-27,121.6
2022-03-28,227.4
2022-03-29,241.4
2022-03-30,259.0
2022-03-31,249.0
2022-04-01,252.2
2022-04-02,238.8
2022-04-03,196.0
2022-04-04,232.0
2022-04-05,242.4
2022-04-06,252.0
2022-04-07,248.4
2022-04-08,228.8
2022-04-09,126.0
2022-04-10,216.2
2022-04-11,261.2
2022-04-12,247.0
2022-04-13,235.2
2022-04-14,245.0
2022-04-15,140.8
2022-04-16,105.4
2022-04-17,205.8
2022-04-18,234.2
2022-04-19,237.0
